year,month,total crime (by borough),rainfall(mm),total employment in London,employment rate(%),total unemployment in London,unemployment rate,population in London,Non-UK nationality,inflation rate,covid-19 total cases,death due to covid-19 ,Passengers in London
2012,Jan,66592,209.8,3771488.703,66.7509019,442470.7507,10.29172962,8236000,1855000,3.2,0,0,5169518
2012,Feb,60793,97.52,3777551.444,66.82025435,441073.8304,10.24159336,8236000,1855000,3.1,0,0,4798785
2012,Mar,72453,93.86,3778035.964,66.78940085,431957.3177,10.05865938,8236000,1855000,3.1,0,0,5697132
2012,Apr,63161,634.9,3801219.853,67.15867315,423435.6228,9.808700567,8236000,1855000,2.8,0,0,5849171
2012,May,69096,194.65,3827568.192,67.58422173,395188.1219,9.161809697,8236000,1855000,2.5,0,0,5831840
2012,Jun,66895,618.16,3868357.753,68.26566287,390132.0814,8.950057283,8236000,1855000,2.3,0,0,6245553
2012,Jul,68447,500.29,3888416.465,68.57839869,401837.1795,9.149497564,8236000,1855000,2.4,0,0,6569647
2012,Aug,67604,191.67,3917814.65,69.04446,405595.6387,9.165230681,8236000,1855000,2.3,0,0,6459119
2012,Sept,61417,233.06,3913620.945,68.91889772,396933.8853,8.986284567,8236000,1855000,2.1,0,0,6345935
2012,Oct,66739,500.16,3895351.632,68.54463115,403461.3291,9.178101078,8236000,1855000,2.4,0,0,6011761
2012,Nov,67646,374.55,3930327.158,69.10494493,382065.1825,8.644332885,8236000,1855000,2.4,0,0,5381138
2012,Dec,62979,544.68,3965582.54,69.67038434,388282.7766,8.702458743,8236000,1855000,2.4,0,0,5625269
2013,Jan,63621,261.04,3962975.617,69.57185426,386803.7027,8.676128237,8341000,1856000,2.4,0,0,5184924
2013,Feb,57423,164.07,3944048.81,69.18597341,411676.8044,9.227964407,8341000,1856000,2.5,0,0,4848548
2013,Mar,59500,284.66,3976175.311,69.69598241,393770.7492,8.800553473,8341000,1856000,2.5,0,0,5921068
2013,Apr,57588,176.82,3965159.19,69.4470866,391217.4183,8.770395968,8341000,1856000,2.2,0,0,5806681
2013,May,58964,248.39,3955680.364,69.23149048,394146.3308,8.860042533,8341000,1856000,2.4,0,0,6105232
2013,Jun,58915,99.89,3961347.806,69.27463023,399925.2725,8.961996348,8341000,1856000,2.6,0,0,6531933
2013,Jul,62870,175.8,3999155.323,69.8814128,385377.5107,8.602871264,8341000,1856000,2.5,0,0,6930334
2013,Aug,59590,288.11,4013894.649,70.07235849,398202.7514,8.853709838,8341000,1856000,2.4,0,0,6959544
2013,Sept,56893,269.81,4003605.354,69.82618914,403927.9344,8.980631596,8341000,1856000,2.4,0,0,6559112
2013,Oct,61965,505,4037399.889,70.34515873,396388.9886,8.770690931,8341000,1856000,2,0,0,6289291
2013,Nov,60213,293.66,4065086.355,70.76278494,379458.0046,8.353454739,8341000,1856000,1.9,0,0,5411354
2013,Dec,56171,565.45,4067842.181,70.73993892,372480.7742,8.211089339,8341000,1856000,1.9,0,0,5784898
2014,Jan,57554,812.72,4077323.087,70.83530017,378289.8292,8.316297547,8591000,1938000,1.8,0,0,5383877
2014,Feb,53025,510.17,4090509.198,70.99558299,365828.9903,8.031172699,8591000,1938000,1.6,0,0,4898467
2014,Mar,59791,146.81,4108653.216,71.24068286,357227.1177,7.829195171,8591000,1938000,1.5,0,0,5753321
2014,Apr,55573,179.14,4139020.85,71.69729188,348290.841,7.584343539,8591000,1938000,1.7,0,0,6193738
2014,May,58565,392.59,4151313.296,71.84232667,343974.8658,7.46299477,8591000,1938000,1.5,0,0,6236718
2014,Jun,59168,142.83,4163220.133,71.97803139,333957.5527,7.236186816,8591000,1938000,1.8,0,0,6600652
2014,Jul,60981,238.07,4171857.002,72.05910779,318203.5415,6.9209632,8591000,1938000,1.6,0,0,6965356
2014,Aug,57996,458.27,4191907.095,72.32282878,301322.4956,6.55567379,8591000,1938000,1.5,0,0,7051073
2014,Sept,59150,73.99,4198608.749,72.35775652,287366.5636,6.261650414,8591000,1938000,1.3,0,0,6577692
2014,Oct,62933,452.06,4176810.567,71.90347949,296450.4921,6.489024955,8591000,1938000,1.3,0,0,6315187
2014,Nov,61814,558.81,4165161.031,71.62137352,297722.4072,6.542122003,8591000,1938000,1.1,0,0,5473031
2014,Dec,59632,226.11,4184304.686,71.87246051,294853.0169,6.4,8591000,1938000,0.7,0,0,5925713
2015,Jan,59160,347.07,4218392.339,72.37712799,283185.4032,6.2,8591000,1938000,0.5,0,0,5454689
2015,Feb,55290,242.76,4216703.567,72.27014595,287233.4132,6.248444532,8591000,1938000,0.4,0,0,4954259
2015,Mar,62393,103.94,4215822.374,72.17502108,285010.1566,6.2,8591000,1938000,0.3,0,0,5950930
2015,Apr,58536,96.95,4211969.3,72.02711639,285609.63,6.259766212,8591000,1938000,0.3,0,0,6144333
2015,May,63314,262.43,4203335.626,71.80133553,308258.6343,6.7,8591000,1938000,0.4,0,0,6342533
2015,Jun,63174,78.32,4226270.604,72.11429647,306542.7374,6.7,8591000,1938000,0.3,0,0,6675186
2015,Jul,64215,261.51,4239452.104,72.25816173,296813.0163,6.4,8591000,1938000,0.5,0,0,7292273
2015,Aug,60404,496.74,4266485.977,72.66547826,276,6,8591000,1938000,0.4,0,0,7333100
2015,Sept,59820,305.37,4253306.599,72.385804,296900.2735,6.431488958,8591000,1938000,0.2,0,0,6766212
2015,Oct,64753,245.85,4289058.05,72.93756975,294309.5036,6.336589602,8591000,1938000,0.2,0,0,6562401
2015,Nov,64907,324.92,4282493.979,72.77171637,288073.4349,6.219345158,8591000,1938000,0.4,0,0,5582081
2015,Dec,63206,250.9,4290791.248,72.85657776,293636.747,6.3,8591000,1938000,0.5,0,0,5901061
2016,Jan,61163,399.16,4287967.484,72.75496684,290164.8254,6.277731606,8698000,2020000,0.6,0,0,5507719
2016,Feb,59039,203.77,4305310.579,72.9913827,290975.9876,6.272124148,8698000,2020000,0.6,0,0,5179374
2016,Mar,61735,352.39,4324336.762,73.25805872,274019.0327,5.8,8698000,2020000,0.8,0,0,6100967
2016,Apr,61092,236.51,4334788.837,73.38077619,279923.0547,5.881923663,8698000,2020000,0.7,0,0,6047226
2016,May,66846,255.51,4335026.751,73.32937765,278729.2165,5.8,8698000,2020000,0.7,0,0,6292660
2016,Jun,64942,557.48,4338645.305,73.33607902,280756.5284,5.9,8698000,2020000,0.8,0,0,6607388
2016,Jul,68496,101.94,4340216.441,73.30623234,289042.2373,6.060866378,8698000,2020000,0.9,0,0,7444112
2016,Aug,65363,104.61,4342502.972,73.32963022,291593.7217,6.125296925,8698000,2020000,1,0,0,7338852
2016,Sept,64319,214.94,4352116.265,73.47417305,266485.7684,5.609780608,8698000,2020000,1.3,0,0,6792807
2016,Oct,66254,136.9,4362703.932,73.63693114,259258.7027,5.458535977,8698000,2020000,1.3,0,0,6480589
2016,Nov,63900,439.82,4367666.07,73.70238648,265810.8899,5.568634167,8698000,2020000,1.5,0,0,5721133
2016,Dec,65301,58.22,4362110.56,73.59064595,260317.8473,5.456105014,8698000,2020000,1.8,0,0,6163396
2017,Jan,62497,343.45,4350354.216,73.37696152,268222.5141,5.618448015,8750000,2066000,1.9,0,0,5739466
2017,Feb,60810,194.45,4345683.408,73.27998549,282025.4444,5.897483048,8750000,2066000,2.3,0,0,5266321
2017,Mar,71301,123.26,4343039.256,73.22018653,296511.8089,6.095663378,8750000,2066000,2.3,0,0,6155844
2017,Apr,65835,28.89,4348372.91,73.29196844,290357.4015,5.961143917,8750000,2066000,2.6,0,0,6731652
2017,May,71669,309.72,4391546.117,74.00121927,270506.0774,5.522781405,8750000,2066000,2.7,0,0,6476024
